cell_id,elevation,corine_landuse,temperature,precipitation,population,soil_class
N15482081,53.08682889354472,242,-51.0,647.0,0.0908888354897499,4.0
N15482160,57.037403184540416,312,-52.0,666.0,0.002704982412979,4.0
N15482087,55.34940127937161,231,-51.0,631.0,1.8651764392852783,1.0
N15482086,55.47189354409977,112,-51.0,633.0,20.09427261352539,1.0
N15482167,57.22581147174446,231,-51.0,643.0,0.0056832619011402,4.0
N15482164,58.36929609337631,231,-51.0,643.0,0.0056832619011402,1.0
N15482168,59.26287460327149,313,-51.0,661.0,0.0094663091003894,1.0
N15482165,56.95255520879006,313,-51.0,653.0,0.0057792230509221,1.0
N15482400,60.14880604646644,311,-51.0,645.0,0.0510020144283771,9.0
N15482403,63.11488762680365,313,-51.0,640.0,0.1073550209403038,8.0
N15482161,50.25208679510622,243,-51.0,649.0,0.0016790505032986,1.0
N15482314,51.12891940681302,142,-51.0,638.0,0.0660758092999458,0.0
N15482316,48.25340193145129,142,-51.0,631.0,0.0433779247105121,0.0
N15482318,53.71181776085678,243,-51.0,633.0,0.1493283063173294,1.0
N15482317,56.21563744058415,142,-51.0,639.0,0.1175680980086326,0.0
N15482315,52.20611050664162,141,-51.0,639.0,0.1085237935185432,1.0
N15482340,46.79080363682338,312,-51.0,639.0,0.2090571224689483,1.0
N15482332,47.51753234863281,313,-51.0,632.0,0.0318893902003765,0.0
N15482311,42.17924071331414,312,-51.0,619.0,0.4510438144207001,0.0
N15482313,42.392517868353394,311,-50.0,617.0,0.0117817558348178,0.0
N15482310,41.20569984280333,312,-50.0,618.0,0.0847811177372932,0.0
N15482308,51.983665466308594,312,-51.0,640.0,0.0214189104735851,0.0
N15482305,44.26592612753109,311,-51.0,640.0,0.0146493827924132,0.0
N15482323,56.144947441256775,231,-51.0,628.0,7.00144100189209,1.0
N15482326,61.90491446670221,231,-51.0,629.0,6.360870838165283,4.0
N15482342,49.30293196074817,243,-51.0,619.0,0.4092825353145599,1.0
N15482341,47.42571258544922,243,-51.0,626.0,0.309889554977417,0.0
N15482312,47.5319571203115,243,-51.0,624.0,14.056991577148438,0.0
N15482320,53.78277019578584,243,-51.0,629.0,3.875221014022827,1.0
N15482133,44.68958835212552,311,-51.0,638.0,0.009428184479475,9.0
N15482058,47.74227656150351,312,-51.0,643.0,0.0113029573112726,8.0
N15482055,43.365512380794605,311,-51.0,643.0,0.015767153352499,4.0
N15482136,48.21616830631178,311,-51.0,638.0,0.0104189338162541,1.0
N15482057,51.04080566094847,312,-51.0,653.0,0.0129925655201077,4.0
N15482052,47.14794999725965,312,-51.0,644.0,0.0153402844443917,5.0
N15482028,44.97553276529118,311,-51.0,638.0,0.0147308055311441,4.0
N15482130,47.55790757159797,312,-51.0,640.0,0.0167483352124691,2.0
N15482054,48.49380812353017,313,-51.0,650.0,0.0105563681572675,1.0
N15482056,45.89704591400769,313,-51.0,646.0,0.0100946454331278,1.0
N15482135,51.33756318384288,312,-51.0,657.0,0.0111611383035779,5.0
N15482134,52.96051033175721,312,-51.0,651.0,0.0008892101468518,1.0
N15482138,50.590048809440766,312,-51.0,654.0,0.0010287925833836,5.0
N15482137,49.42510098827128,313,-51.0,649.0,0.0016790505032986,1.0
N15482131,43.96433795228296,312,-51.0,638.0,0.017291622236371,5.0
N15482107,47.13236906090561,231,-51.0,645.0,0.0214201752096414,1.0
N15482132,48.01240944375797,312,-51.0,642.0,0.0178874023258686,6.0
N15482074,49.60516318496393,313,-51.0,642.0,0.6925382018089294,1.0
N15482072,56.96789021394691,312,-52.0,661.0,0.7967854738235474,1.0
N15482075,47.828659680424906,242,-51.0,635.0,0.351799875497818,4.0
N15482076,42.602182271529216,312,-51.0,628.0,0.3162462711334228,1.0
N15482077,42.96781438710738,242,-51.0,628.0,0.5583277940750122,1.0
N15482071,52.2368049621582,312,-52.0,655.0,0.3956328630447387,1.0
N15482070,43.950663663903065,311,-51.0,631.0,0.3799720704555511,8.0
N15482047,42.68418565088389,312,-51.0,642.0,0.330809473991394,5.0
N15482046,45.39413350942184,312,-51.0,631.0,0.3799720704555511,8.0
N15482048,44.70133255939094,312,-51.0,650.0,0.1294795423746109,5.0
N15482073,43.7245251402563,311,-51.0,635.0,0.136849045753479,9.0
N15482065,41.3761252578424,313,-51.0,626.0,0.0415168292820453,14.0
N15482083,48.82805002952109,231,-51.0,619.0,0.4854042530059814,4.0
N15482080,52.21156505662568,231,-51.0,634.0,0.1025965809822082,2.0
N15482078,50.21400467230349,242,-51.0,617.0,8.152535438537598,2.0
N15482410,77.87281853812081,132,-52.0,666.0,7.543689250946045,0.0
N15482176,63.04531642368862,121,-51.0,645.0,2.484224796295166,0.0
N15482411,73.11488280004384,132,-51.0,663.0,1.009852647781372,8.0
N15482177,78.89319742942342,121,-53.0,680.0,2.7686421871185303,12.0
N15482405,64.06245500214246,243,-51.0,658.0,1.4162251949310305,0.0
N15482404,67.62248619235292,311,-52.0,666.0,0.0908736139535904,7.0
N15482413,65.68087628422951,243,-52.0,655.0,1.6680938005447388,4.0
N15482408,67.31496873193858,311,-52.0,666.0,1.5870901346206665,6.0
N15482173,54.949474646120656,313,-51.0,643.0,0.0058157336898148,1.0
N15482174,53.93964323705556,311,-51.0,643.0,0.0262059327214956,7.0
N15482402,65.89079969756457,311,-52.0,663.0,0.0875962153077125,4.0
N15482401,66.57176784593231,313,-52.0,656.0,0.4428525865077972,9.0
N15482412,60.15954060457191,243,-51.0,656.0,2.9659924507141118,4.0
N15482178,61.50308873702069,243,-51.0,652.0,0.0650477409362793,6.0
N15482420,62.59771456037249,243,-51.0,648.0,4.292455196380615,1.0
N15482186,60.93648311070034,243,-51.0,649.0,4.292455196380615,1.0
N15482414,65.1811499303701,242,-52.0,658.0,1.6630475521087646,4.0
N15482175,57.130283200010965,311,-51.0,654.0,0.0158669538795948,4.0
N15482328,69.66582457873287,243,-52.0,663.0,0.3987008929252624,1.0
N15482351,69.93631510831872,243,-52.0,659.0,0.2427906692028045,4.0
N15482327,68.17041622862524,243,-52.0,660.0,0.5239974856376648,1.0
N15482430,69.25252182629643,231,-52.0,656.0,0.4373795986175537,4.0
N15482352,70.81232156558913,243,-52.0,666.0,0.1615453511476516,1.0
N15482406,68.4015059957699,231,-52.0,655.0,0.1061295568943023,1.0
N15482354,66.35785768469985,231,-52.0,644.0,0.5635668039321899,4.0
N15482353,64.96522592038525,211,-51.0,644.0,1.0072746276855469,1.0
N15482325,61.894075510453206,231,-51.0,642.0,0.4449071586132049,1.0
N15482350,63.36954023400131,231,-51.0,632.0,1.133040189743042,4.0
N15482407,69.54805537632534,211,-52.0,648.0,0.6657020449638367,1.0
N15482431,69.6552936787508,211,-51.0,647.0,0.924548864364624,1.0
N15482355,69.84610000921755,231,-52.0,654.0,0.1908614635467529,0.0
N15482433,71.08030887525909,231,-51.0,652.0,0.6929211020469666,4.0
N15482147,60.88335480981944,312,-52.0,658.0,0.2827012836933136,1.0
N15482170,57.370433106714366,312,-52.0,651.0,0.0593025423586368,1.0
N15482146,48.200029879200216,312,-51.0,646.0,0.0024250717833638,1.0
N15482171,55.848614828927175,312,-51.0,656.0,0.2474724501371383,1.0
N15482162,50.87644320118184,312,-51.0,647.0,0.0026041457895189,8.0
