cell_id,elevation,corine_landuse,temperature,precipitation,population,soil_class,token_id
5085915433710649344,65.77046522802236,211,-52.0,652.0,0.3441546857357025,4.0,4694cd24
5110233985217200128,57.30769838605608,243,-52.0,633.0,0.8371214866638184,6.0,46eb32bc
5110228762536968192,41.41184943062918,211,-50.0,609.0,3.1506443023681636,0.0,46eb2dfc
5110228831256444928,42.385145031676004,211,-51.0,639.0,3.193263530731201,0.0,46eb2e0c
5110228659457753088,50.6679562159947,211,-51.0,644.0,6.32441520690918,6.0,46eb2de4
5110228796896706560,38.25363314881616,211,-50.0,612.0,5.124419212341309,0.0,46eb2e04
5110228728177229824,45.838200471839116,211,-51.0,618.0,6.6455979347229,1.0,46eb2df4
5110228281500631040,52.12177658081055,211,-51.0,635.0,3.041506052017212,4.0,46eb2d8c
5110228693817491456,36.77347502416494,211,-51.0,620.0,54.94559097290039,0.0,46eb2dec
5110233229302956032,45.71542389538824,211,-51.0,623.0,4.987259864807129,1.0,46eb320c
5110229277933043712,48.14691574719488,211,-51.0,649.0,13.252035140991213,6.0,46eb2e74
5110229209213566976,44.75098738378407,211,-51.0,623.0,10.245246887207033,1.0,46eb2e64
5110229243573305344,36.942512122952216,211,-50.0,604.0,6.391232490539551,0.0,46eb2e6c
5110228625098014720,51.470939246975654,211,-51.0,632.0,2.15161395072937,6.0,46eb2ddc
5110228522018799616,44.67563271035954,211,-50.0,621.0,2.423480033874512,0.0,46eb2dc4
5110233160583479296,34.40304347446987,211,-50.0,614.0,5.731260299682617,0.0,46eb31fc
5110233194943217664,39.069025506778644,211,-50.0,608.0,2.013274669647217,0.0,46eb3204
5110233057504264192,42.70040146185427,211,-50.0,610.0,4.543586730957031,4.0,46eb31e4
5110233126223740928,43.219468408701374,211,-50.0,616.0,11.66961669921875,6.0,46eb31f4
5110233263662694400,46.122858086410844,211,-51.0,614.0,1.429271221160889,6.0,46eb3214
5110228865616183296,42.72817238009706,211,-51.0,619.0,2.3225319385528564,4.0,46eb2e14
5110229037414875136,41.07210922241211,211,-50.0,609.0,8.926685333251953,0.0,46eb2e3c
5110228899975921664,44.21943041743064,211,-51.0,618.0,1.3077383041381836,4.0,46eb2e1c
5110228934335660032,39.24623248041893,211,-50.0,607.0,8.914051055908203,0.0,46eb2e24
5085759234340028416,0.0,523,0.0,0.0,0.0,21.0,46943f14
5085759268699766784,0.0,523,0.0,0.0,0.0,21.0,46943f1c
5085759199980290048,0.0,523,0.0,0.0,0.0,,46943f0c
5085759165620551680,0.0,523,0.0,0.0,0.0,21.0,46943f04
5085759028181598208,0.0,523,0.0,0.0,0.0,21.0,46943ee4
5085759131260813312,0.0,523,0.0,0.0,0.0,,46943efc
5085759440498458624,0.0,523,0.0,0.0,0.0,21.0,46943f44
5085759406138720256,0.0,523,0.0,0.0,0.0,21.0,46943f3c
5085759474858196992,0.032312925981015574,523,-48.0,631.0,0.8141085505485535,21.0,46943f4c
5085759303059505152,0.0,523,0.0,0.0,0.0,21.0,46943f24
5085758993821859840,0.0,523,0.0,0.0,0.0,21.0,46943edc
5085759337419243520,0.0,523,0.0,0.0,17.625347137451172,21.0,46943f2c
5085759852815319040,0.0,523,0.0,0.0,0.0,,46943fa4
5085759646656888832,0.0,523,0.0,0.0,0.0,,46943f74
5085759955894534144,0.0,523,0.0,0.0,0.0,,46943fbc
5085759818455580672,0.0,523,0.0,0.0,0.0,,46943f9c
5085759887175057408,0.0,523,0.0,0.0,0.0,,46943fac
5085758409706307584,0.0,523,0.0,0.0,0.0,,46943e54
5085759921534795776,0.0,523,0.0,0.0,0.0,,46943fb4
5085758375346569216,0.0,523,0.0,0.0,0.0,,46943e4c
5085759612297150464,0.0,523,0.0,0.0,0.0,,46943f6c
5085759577937412096,0.0,523,0.0,0.0,0.0,21.0,46943f64
5085759681016627200,0.0,523,0.0,0.0,0.0,,46943f7c
5085768270951219200,19.12387709714929,211,-50.0,639.0,0.6149486899375916,2.0,4694474c
5085768305310957568,15.33681192203444,231,-50.0,652.0,0.5988013744354248,8.0,46944754
5085768236591480832,35.08504482191436,211,-50.0,640.0,0.7487490773200989,2.0,46944744
5085768339670695936,28.57510835297253,211,-50.0,634.0,2.245760917663574,2.0,4694475c
5085761021046423552,14.030995485733964,231,-49.0,637.0,0.6842442154884338,1.0,469440b4
5085752190593662976,16.398798709013025,312,-50.0,661.0,1.6322205066680908,5.0,469438ac
5085752224953401344,16.565749674427266,312,-49.0,667.0,19.47679328918457,5.0,469438b4
5085752156233924608,18.646802649206048,312,-50.0,650.0,1.3261839151382446,5.0,469438a4
5085759509217935360,8.924058252451369,112,-49.0,647.0,7.731515407562256,0.0,46943f54
5085768030433050624,33.35226541635941,211,-50.0,636.0,0.7506431341171265,2.0,46944714
5085768408390172672,31.49655599010234,211,-50.0,644.0,4.918757438659668,3.0,4694476c
5085768202231742464,36.014918385719774,211,-50.0,635.0,0.7867646813392639,2.0,4694473c
5085768374030434304,19.034399441310338,231,-50.0,628.0,1.3879464864730835,1.0,46944764
5085752121874186240,9.865732523859764,242,-49.0,608.0,4.3320255279541025,17.0,4694389c
5085761124125638656,26.75528000812141,243,-50.0,648.0,0.9050533175468444,3.0,469440cc
5085761055406161920,7.268094546940862,231,-48.0,622.0,0.4983941614627838,2.0,469440bc
5085759543577673728,0.0,523,-48.0,626.0,0.12977373600006106,21.0,46943f5c
5085760986686685184,9.54098104457466,312,-49.0,632.0,0.9524362683296204,5.0,469440ac
5085760952326946816,0.0,523,0.0,0.0,0.0,21.0,469440a4
5085768167872004096,42.155397609788544,211,-51.0,663.0,2.208834171295166,0.0,46944734
5085768099152527360,36.63321864848234,211,-50.0,657.0,4.6533546447753915,0.0,46944724
5085768133512265728,38.114208688541325,211,-50.0,663.0,1.2193875312805176,0.0,4694472c
5085752396752093184,13.415254359342613,112,-49.0,634.0,26.26947021484375,0.0,469438dc
5085752705989738496,3.1984627451747656,243,-49.0,621.0,17.325239181518555,0.0,46943924
5085752465471569920,9.282782768716617,231,-49.0,634.0,13.710319519042967,0.0,469438ec
5085752431111831552,7.354711084949727,243,-49.0,624.0,18.31295585632324,0.0,469438e4
5085752362392354816,17.604985023031432,112,-49.0,653.0,214.1410369873047,0.0,469438d4
5085752293672878080,17.806518457373798,312,-50.0,660.0,2.5959131717681885,0.0,469438c4
5085752499831308288,7.5468392566758755,231,-49.0,644.0,1.0064347982406616,7.0,469438f4
5085752534191046656,12.024302190663864,312,-50.0,649.0,0.9193425178527832,8.0,469438fc
5085752053154709504,13.298028147950467,311,-50.0,649.0,0.8251929879188538,9.0,4694388c
5085752671630000128,2.4407284855842595,243,-49.0,624.0,21.82833671569824,0.0,4694391c
5085752328032616448,13.706356496227029,112,-49.0,656.0,212.6851348876953,0.0,469438cc
5085759371778981888,1.9124895626184888,112,-48.0,645.0,21.61002540588379,0.0,46943f34
5085758959462121472,2.021061907473364,112,0.0,644.0,112.24015808105469,0.0,46943ed4
5085752740349476864,-0.16913197189569473,312,0.0,643.0,0.0,0.0,4694392c
5085752259313139712,12.175452018270688,242,-49.0,627.0,8.521366119384767,5.0,469438bc
5085752087514447872,8.937324893717864,242,-49.0,615.0,8.521366119384767,17.0,46943894
5085760093333487616,0.0,523,0.0,0.0,0.0,,46943fdc
5085760058973749248,0.0,523,0.0,0.0,0.0,,46943fd4
5085760162052964352,0.0,523,0.0,0.0,0.0,,46943fec
5085759990254272512,0.0,523,0.0,0.0,0.0,,46943fc4
5085713398449045504,0.0,523,0.0,0.0,0.0,,46941564
5085760127693225984,0.0,523,0.0,0.0,0.0,,46943fe4
5085758237907615744,0.0,523,0.0,0.0,0.0,,46943e2c
5085713535887998976,0.0,523,0.0,0.0,0.0,,46941584
5085759784095842304,0.0,523,0.0,0.0,0.0,,46943f94
5085759749736103936,0.0,523,0.0,0.0,0.0,,46943f8c
5085760024614010880,0.0,523,0.0,0.0,0.0,,46943fcc
5085713364089307136,0.0,523,0.0,0.0,0.0,,4694155c
5085713261010092032,0.0,523,0.0,0.0,0.0,,46941544
5085713432808783872,0.0,523,0.0,0.0,0.0,,4694156c
5085713295369830400,0.0,523,0.0,0.0,0.0,,4694154c
5085713467168522240,0.0,523,0.0,0.0,0.0,,46941574
5085713638967214080,0.0,523,0.0,0.0,0.0,,4694159c
5085713501528260608,0.0,523,0.0,0.0,0.0,,4694157c
5085760230772441088,0.0,523,0.0,0.0,0.0,,46943ffc
5085760299491917824,0.0,523,0.0,0.0,0.0,,4694400c
5085760196412702720,0.0,523,0.0,0.0,0.0,,46943ff4
5085760265132179456,0.0,523,0.0,0.0,0.0,,46944004
5085758272267354112,0.0,523,0.0,0.0,0.0,,46943e34
5085760849247731712,0.0,523,0.0,0.0,0.0,21.0,4694408c
5085760814887993344,0.0,523,0.0,0.0,0.0,21.0,46944084
5085761295924330496,0.0,523,0.0,0.0,0.0,21.0,469440f4
5085760677449039872,0.0,523,0.0,0.0,0.0,21.0,46944064
5085760780528254976,0.0,523,0.0,0.0,0.0,21.0,4694407c
5085760643089301504,0.0,523,0.0,0.0,0.0,21.0,4694405c
5085759715376365568,0.0,523,0.0,0.0,0.0,,46943f84
5085761261564592128,0.0,523,0.0,0.0,0.0,21.0,469440ec
5085760883607470080,0.0,523,0.0,0.0,0.06582145392894745,21.0,46944094
5085761192845115392,21.565712585741164,211,-49.0,625.0,0.2107434719800949,0.0,469440dc
5085761089765900288,16.112945371744583,231,-50.0,637.0,0.5335032343864441,1.0,469440c4
5085761227204853760,3.935266708841129,242,-48.0,601.0,0.05923812091350555,1.0,469440e4
5085760917967208448,0.0,523,0.0,0.0,0.0,21.0,4694409c
5085760540010086400,0.0,523,0.0,0.0,0.0,21.0,46944044
5085760711808778240,0.0,523,0.0,0.0,0.0,21.0,4694406c
5085760505650348032,0.0,523,0.0,0.0,0.0,21.0,4694403c
5085760746168516608,0.0,523,0.0,0.0,0.0,,46944074
5085761330284068864,0.0,523,0.0,0.0,0.0,21.0,469440fc
5085760608729563136,0.0,523,0.0,0.0,0.0,21.0,46944054
5085761364643807232,2.415414868568888,313,-48.0,598.0,0.0189295057207346,1.0,46944104
5085769610981015552,58.34988652443399,121,-51.0,682.0,24.21341323852539,0.0,46944884
5085769576621277184,41.96127883755431,121,-52.0,669.0,67.26758575439453,0.0,4694487c
5085769645340753920,46.555321557181216,132,-52.0,695.0,0.8606013059616089,0.0,4694488c
5085769714060230656,54.117871809978865,132,-52.0,689.0,2.25966215133667,0.0,4694489c
5085769542261538816,30.70248082219338,121,-51.0,642.0,22.87217140197754,0.0,46944874
5085769095584940032,26.88989810554349,121,-50.0,639.0,190.5767517089844,0.0,4694480c
5085769473542062080,32.152459631160816,121,-51.0,640.0,785.4700317382812,0.0,46944864
5085769507901800448,27.77976767870845,313,-51.0,639.0,14.901458740234375,0.0,4694486c
5085768889426509824,32.698288703451354,121,-51.0,643.0,41.42712020874024,0.0,469447dc
5085770057657614336,27.452877122528697,132,-50.0,641.0,2.6853692531585693,0.0,469448ec
5085770092017352704,23.42478798846809,512,-50.0,627.0,0.0,0.0,469448f4
5085769885858922496,24.726347047455448,312,-51.0,645.0,1.2272775173187256,0.0,469448c4
5085770023297875968,23.9265464471311,312,-50.0,634.0,0.0,0.0,469448e4
5085769679700492288,29.150983654722875,132,-50.0,672.0,0.4025551080703736,0.0,46944894
5085769439182323712,25.98953574044364,242,-50.0,633.0,0.0,0.0,4694485c
5085766999640899584,39.749098952935675,121,-51.0,661.0,5.341104984283447,0.0,46944624
5085767034000637952,32.674575844589555,121,-51.0,655.0,70.19859313964844,0.0,4694462c
5085767102720114688,36.9880219284369,121,-51.0,661.0,0.8788685798645021,0.0,4694463c
5085767068360376320,37.8273083433813,121,-50.0,651.0,2.4382925033569336,0.0,46944634
5085768855066771456,29.780411467260247,242,-50.0,636.0,9.168695449829102,0.0,469447d4
5085768820707033088,31.45542148667939,311,-51.0,641.0,0.491676926612854,7.0,469447cc
5085768786347294720,31.21054392444844,231,-50.0,630.0,18.44595718383789,0.0,469447c4
5085769748419969024,28.322746549333853,312,-51.0,653.0,0.9529018998146056,0.0,469448a4
5085769851499184128,26.02223672672194,312,-51.0,655.0,0.40933725237846375,11.0,469448bc
5085751331600203776,27.120639489621528,112,-51.0,641.0,2367.4140625,0.0,469437e4
5085769198664155136,28.901559790786433,112,-51.0,647.0,2386.580810546875,0.0,46944824
5085751297240465408,31.978131274787746,112,-51.0,632.0,2240.81787109375,0.0,469437dc
5085769164304416768,28.51424010919065,112,-50.0,627.0,1695.3951416015625,0.0,4694481c
5085751365959942144,11.327711661656696,112,0.0,629.0,0.0,0.0,469437ec
5085751400319680512,4.641662369603696,142,0.0,632.0,51.5058822631836,0.0,469437f4
5085769267383631872,22.515031581022306,112,-51.0,637.0,1857.1817626953125,0.0,46944834
5085769233023893504,11.550826053619385,112,0.0,637.0,0.0,0.0,4694482c
5085771054090027008,21.86603660583496,112,0.0,649.0,0.0,0.0,469449d4
5085769301743370240,27.468111466388308,112,-51.0,647.0,2511.8984375,0.0,4694483c
5085751262880727040,16.121659171196722,112,-50.0,618.0,861.0668334960938,0.0,469437d4
5085769061225201664,30.630129950387136,121,-50.0,639.0,145.5038299560547,0.0,46944804
5085769026865463296,31.40680589481276,211,-50.0,638.0,23.136945724487305,3.0,469447fc
5085751434679418880,17.765490298368498,112,-50.0,619.0,78.52556610107422,0.0,469437fc
5085751469039157248,10.365782037073252,211,-50.0,617.0,5.256009578704834,14.0,46943804
5085751572118372352,8.217298901810937,242,-50.0,616.0,71.53192901611328,0.0,4694381c
5085769129944678400,24.600388196049906,121,-50.0,633.0,217.77593994140625,0.0,46944814
5085769336103108608,28.225170952933176,121,-51.0,639.0,294.33917236328125,0.0,46944844
5085776551648165888,23.489123947766362,512,-50.0,640.0,0.0,0.0,46944ed4
5085770332535521280,23.496476621043925,512,-50.0,642.0,0.0,0.0,4694492c
5085776929605287936,23.478840574926263,512,-50.0,641.0,0.0,0.0,46944f2c
5085769954578399232,23.473166679849427,512,-50.0,642.0,0.0,0.0,469448d4
5085770298175782912,23.48878136459662,512,-50.0,639.0,0.0,0.0,46944924
5085770263816044544,23.49860627310617,512,-50.0,640.0,0.0,0.0,4694491c
5085769988938137600,23.75263482697156,324,-50.0,643.0,0.0,0.0,469448dc
5085776482928689152,24.364857303852936,0,-51.0,641.0,0.0,,46944ec4
5085776448568950784,24.026431492396764,0,-51.0,633.0,0.0,,46944ebc
5085776517288427520,23.54858414007693,0,-51.0,642.0,0.0,,46944ecc
5085770366895259648,23.55068872412857,0,-51.0,644.0,0.0,0.0,46944934
5085770401254998016,23.557164912321127,0,-51.0,646.0,0.0,0.0,4694493c
5085770469974474752,23.57205678978745,0,-51.0,644.0,0.0,0.0,4694494c
5085776998324764672,23.866207200653697,411,-50.0,638.0,0.0,,46944f3c
5085776963965026304,23.4734124164192,512,-50.0,641.0,0.0,0.0,46944f34
5085776895245549568,25.02609408631617,411,-50.0,637.0,0.0,,46944f24
5085769920218660864,25.794241146165493,324,-50.0,644.0,0.0,0.0,469448cc
5085769817139445760,25.940927388716716,324,-50.0,651.0,0.1918448805809021,0.0,469448b4
5085776620367642624,23.564284616587113,0,-50.0,633.0,0.0,,46944ee4
5085776586007904256,23.53542397946727,0,-50.0,636.0,0.0,,46944edc
5085770847931596800,21.1861712511848,0,0.0,666.0,0.0,0.0,469449a4
5085770882291335168,23.75989419586805,512,-50.0,644.0,0.0,0.0,469449ac
5085770195096567808,23.56877009073893,0,-50.0,645.0,0.0,0.0,4694490c
5085770916651073536,23.183365561745386,142,0.0,655.0,0.0,0.0,469449b4
5085770126377091072,23.49023200054558,512,-50.0,637.0,0.0,0.0,469448fc
5085770160736829440,23.521113454079146,512,-50.0,642.0,0.0,0.0,46944904
5085769370462846976,24.214759437405327,123,-50.0,640.0,0.0,0.0,4694484c
5085769404822585344,23.48480839631995,123,-50.0,638.0,0.0,0.0,46944854
5085770229456306176,23.55190397768605,0,-50.0,644.0,0.0,0.0,46944914
5085770607413428224,19.638589382171627,0,0.0,647.0,0.0,0.0,4694496c
5085767205799329792,34.41936228226642,243,-51.0,661.0,0.27656692266464233,0.0,46944654
5085767240159068160,32.19825433225048,242,-51.0,647.0,0.8745499849319458,1.0,4694465c
